Date,Time,Symbol,SymbolCode,ExpiryDate,StrikePrice,CALL COI,PUT COI,PCR-COI
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,20300,-3448,-4,0.0
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,20350,821,1,0.001
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,20400,-665,0,0.0
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,20450,718,0,0.0
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,20500,9729,-7,-0.001
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,20550,-147,0,0.0
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,20600,-582,0,0.0
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,20650,800,0,0.0
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,20700,47,0,0.0
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,20750,-105,0,0.0
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,20800,-2081,0,0.0
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,20850,-63,0,0.0
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,20900,-553,0,0.0
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,20950,-9,0,0.0
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,21000,-10520,0,0.0
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,21050,-74,0,0.0
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,21100,-339,0,0.0
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,21150,-2,0,0.0
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,21200,-729,0,0.0
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,21250,-27,0,0.0
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,21300,-2605,0,0.0
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,21350,-3152,0,0.0
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,21400,-1990,0,0.0
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,21450,-834,0,0.0
2023-08-16,14:10,NIFTY,NIFTY,17-Aug-2023,21500,100,0,0.0
